timestamps,TP9,AF7,AF8,TP10,Right AUX
1732204953.326,-50.293,-27.832,-21.484,-68.359,0.000
1732204953.330,-47.852,-29.297,-28.320,-59.570,0.000
1732204953.334,-32.715,-31.250,-31.738,-63.965,0.000
1732204953.338,-24.414,-31.250,-31.250,-62.500,0.000
1732204953.342,0.000,-23.926,-34.668,-54.199,0.000
1732204953.346,0.000,-26.367,-35.156,-42.969,0.000
1732204953.350,0.000,-26.367,-24.414,-24.902,0.000
1732204953.353,0.000,-24.414,-18.066,-32.715,0.000
1732204953.357,0.000,-27.832,-28.320,-26.855,0.000
1732204953.361,0.000,-24.902,-37.598,-14.648,0.000
